t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,0,0,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0653816435015012,6.57543914052667,-6.0465906846501,-0.00576740312688946,-0.0240846577238742,1,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,0,0,0,0
0.007,-0.147468701558075,7.50477163425966,-2.1682782484353,-0.0146008563543112,-0.0532354798992545,0,-0.0928527115649383,-0.0928527115649383,7.69029161830916,7.69029161830916,-2.116552812963,-2.116552812963,-0.0720925390861183,0,-0.301058221548428,0
0.008,-0.27362217565553,6.54553496997808,1.69461823321681,-0.0286699575290103,-0.0828305937880305,0,-0.772800379994662,-0.0844522519028352,4.76904127651285,7.08691144894887,1.3012677542158,1.94762945425998,-0.0720925390861183,0,-0.301058221548428,0
0.009,-0.499412000790906,4.04890276569438,4.60057757950572,-0.0345471863467746,-0.102270861012351,0,-1.94868321721628,-0.050891903345788,1.07263560470257,5.03046839853407,2.89508246810236,5.27424359400983,-0.0851922959646798,0,-0.301058221548428,0
0.01,-0.763104903859638,0.745125277151522,5.90701150093628,-0.0336891351404924,-0.0989699802743886,0,-2.4495893636035,-0.0204947554412076,-2.19555236341863,2.07263090692706,2.47316124019732,7.21750829716808,-0.0982920528432413,0,-0.301058221548428,0
0.011,-1.01285883434873,-2.42665432110543,5.43151981454921,-0.0317392603500857,-0.0795460318248057,0,-3.03663984658709,-0.0147465863870047,-5.04119659847301,-1.08790705752051,0.285565373994083,7.47631723876627,-0.129674568887719,0.0283398867936846,-0.301058221548428,0.0480635372055804
0.012,-1.23334429758536,-4.68200502830931,3.46554375715852,-0.0198725801334817,-0.0566029777559974,1,-3.31300072396533,-0.0328493436395148,-6.79360992255276,-3.43836759751712,-2.89088363739785,6.13051529779143,-0.122364714263853,0.0646833260664723,-0.301058221548428,0.153132073722409
0.013,-1.31519900419713,-5.5906384593656,0.633716028824053,-0.00310438113385215,-0.027403641269438,0,-3.86684465621722,0.33809854885664,-8.04540577788092,-3.41310293951927,-5.65093937775324,3.8668535953053,-0.122364714263853,0.139372357961136,-0.269646496542401,0.188029557671964
