t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.00166497572573654,-0.000534678366872377,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.0812106958867176,6.57127517450011,-6.04773951204482,-0.021462852583245,0.00113694260697349,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,0,0,0,0
0.007,-0.311429823437178,7.69572886377285,-2.11710643293703,-0.0259972549383777,0.00363533761290146,0,-0.0928527115649383,-0.0928527115649383,7.69029161830916,7.69029161830916,-2.116552812963,-2.116552812963,0,0,0,0
0.008,-0.529573199050856,7.11951801332067,1.95815662859492,-0.0202855283133451,0.00398915073210415,0,-2.68572267362077,-0.0844522519028352,7.08691144894887,7.28268150106485,1.94762945425998,2.02898445110597,0,0,0,0
0.009,-0.646325169883333,5.085171177436,5.3095137745526,-0.0508246770351568,-2.48923852118346e-06,1,-2.65070794516298,-0.050891903345788,5.03046839853407,5.23781458355615,5.27424359400983,5.4939492560407,-0.332995145147308,-0,-0.106935673374475,0
0.01,-1.04233040059846,2.10768862068632,7.27787051841099,-0.149989532382038,0.025331120012879,1,-3.19285085043333,-0.0204947554412076,1.25763103964174,2.34062217418921,6.99014129325032,7.52711941384838,-0.302215018862866,0,0,0.0367716556786373
0.011,-2.36536643669597,-0.877562400900851,7.60461532090778,0.0180569333504627,0.0372913876697615,1,-2.89094517616288,-0.0147465863870047,-1.50341384469104,-0.770524979857529,6.87129407923082,7.80075204773951,0,0.169428374497183,0,0.161140937150364
0.012,-1.98573290922876,-3.34416236011313,6.43254047417713,0.0212131372290387,0.0430491529830349,0,-2.63598426604016,0.449300463636111,-3.97641652760859,-2.53657484959977,5.31289845654226,6.93201851989097,-0.0398736341102181,0.171679637996057,0,0.241421999616522
0.013,-1.61998602461791,-4.86486320349518,4.16624725408408,0.0337627323173026,0.0372736231085194,0,-2.55452119219347,0.382287326812699,-5.43069862308956,-3.67489466545445,3.25131274774615,5.02773102879932,-0,0.169428374497183,-0,0.229145200906902
0.014,-1.16059823900937,-5.28179688337447,1.37104583993202,0.0461380368363018,0.0261538346829634,0,-2.1943483156196,0.519115699438747,-5.83976193576117,-4.11958908000357,0.774884214069986,2.52633321486432,0,0.211538414442058,0,0.229145200906902
0.015,-0.611148700225394,-4.6345533641686,-1.35616067680977,0.0821625633765827,0.0421314725112389,1,-1.98107744640664,1.31706225313067,-5.22205448979024,-3.39397513775796,-2.17926347751988,-0.346682618421431,0,0.237777751700525,0,0.148355253080227
0.016,0.239067945654459,-2.93392687513577,-3.43251349353838,0.0437739747337345,-0.0032618001585789,0,-1.03563191821333,1.54725005362657,-3.98076923273049,-2.08325221819299,-4.16285130792627,-2.65037097589459,0,0.286867431767888,0,0.0393406439022103
0.017,0.641958264092283,-1.09518762419207,-4.53396702547242,0.01880599865987,-0.0156244250140918,0,-0.539746476180662,2.73197722235896,-2.25166740263746,-0.161140100637818,-5.13956335902002,-3.60786377376042,0,0.109965516237346,-0.063865422324095,0
0.018,0.760921055412791,0.73463366953909,-4.62603075627878,0.0180703119886018,-0.0328926725888114,0,-0.263783485340449,2.62688753655327,-0.319491364774079,1.71593460991088,-5.39445510741451,-3.718707529773,0,0.16497115439837,-0.153302045569926,-0
0.019,0.85378235849522,2.12982717543249,-3.8325984851888,0.000469133215617164,-0.035037039603222,0,-0.244658965804911,2.41244499082346,0.899287270293885,3.07900103794725,-4.82812264671363,-3.03540063011782,0,0.0339905433585992,-0.158187271680025,0
0.02,0.768041450209443,2.94516582117299,-2.43331651881876,-0.0205953890606272,-0.0629541599124856,1,-0.0483840033764534,2.22396495084071,1.83430489185533,3.71175898907053,-3.58993519815648,-1.17329427774346,-0.0375130597388426,0,-0.20140225723627,0
0.021,0.493247098755148,2.85531276939371,-0.837901681386097,-0.024628102613643,-0.0253209195845611,0,-0.447685995633318,1.93723934676095,1.90276349886213,4.06430872225505,-1.79484899234197,0.356129390981944,-0.124665099042641,0,-0.154971718931484,0
