t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.174674250457619,-0.153037919647686,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.216986646531203,0,-0.190109216953647,0
0.006,-1.72321340814314,5.3921584204354,-6.37546807183363,-0.123521088836103,-0.328859371468989,1,-2.12479998467123,-0.0653816435015011,5.1055252025251,6.57543914052667,-6.45513402276629,-6.0465906846501,-0.216986646531203,0,-0.382122125646473,0
0.007,-2.76260667378489,4.31109800605345,-3.70721419200828,-0.0444990141809873,-0.317891556185504,1,-3.01930223991439,-1.95559175568047,3.69635148155194,6.64083063664265,-4.03601439103381,-2.5241932907806,-0.223815330118568,-0,-0.475487292456472,0
0.008,-2.93335452745433,2.48938649203042,-1.84097859842836,0.0268962735202059,-0.244106186660268,1,-3.22827926300858,-2.7458507044478,1.9002975732933,4.56144425735477,-2.44485634554346,-0.317549824505597,-0.178552517761196,0.101986223232261,-0.540189810568686,-0.10228437711828
0.009,-2.40073120990658,0.856919535263247,-0.925554962630019,0.073155443752768,-0.134092369602057,1,-4.18652171601175,-1.95060003119316,-0.259995003848687,1.61354318442174,-1.59427509518002,0.213126074857499,0,0.203600637257871,-0.224919117417495,-0.0433713477861869
0.01,-1.47692102514086,0.0218099797936382,-0.686833450659209,0.0604081712978484,-0.0486804000750872,1,-2.34594921092455,-1.02591453112018,-1.09777769124721,0.504331667585557,-1.18154096291825,0.0585751026655755,0,0.147964090090007,-0.0663285008485916,0.0627399797715971
0.011,-0.761886822431095,-0.0931881687231234,-0.706964197554661,0.0379998342448882,-0.0226998613013131,1,-1.17516610004898,-0.240503376053234,-0.90479830366025,0.354632438669522,-0.945677245292749,-0.194436455585697,0,0.0877620426001597,-0.0718522535241549,0.0545415326284453
0.012,-0.327913514710489,0.0210293461932199,-0.72638340835753,0.0144635222525386,-0.00844249411907939,1,-0.647539725308026,0.167464051719899,-0.559002527122124,0.326837706433483,-1.0311768858001,-0.386977031824233,-0.00316252433526708,0.0334559526927282,-0.0364781550472082,0.0588468227399195
0.013,-0.159208713680851,0.231630938603259,-0.656029546357596,-0.00212727478227892,-0.0148626850643449,1,-0.379281712115549,0.245809313965008,-0.0567612264975524,0.500725690034583,-0.877539359974789,-0.422603615410637,-0.0298714960097867,0.0116415870816845,-0.0346299236652341,0.0112398165400262
0.014,-0.164526005153776,0.326964115661019,-0.50193577983487,-0.00633044964050869,-0.0217042685175095,1,-0.300827263366968,0.110216966594505,0.158038050720808,0.578503836857224,-0.656834580809671,-0.303967279168173,-0.0225063092261179,0.00339911361565716,-0.0435826609142126,0
