points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.281131775741205,0.3285128,5.6731e-05
0.1,0.274820768572993,0.3984487,8.94332906957344e-05
0.2,0.27257048053094,0.378733,9.67723377755636e-05
0.3,0.278163088395027,0.4374105,9.15769977861886e-05
0.4,0.282805086593989,1.060998,0.000183278788127929
0.5,0.293848556155644,0.6627811,0.00016821560828552
0.6,0.314920537379078,0.7381356,0.000180217336595596
0.7,0.333265776929962,0.5429886,0.000118340444753301
0.8,0.381904593673601,0.399992,0.000129139657827203
0.9,0.421377199108243,0.4486433,0.000114961589679567
1,0.494254838003012,0.5532574,0.00014933
