points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,1,0.0002079,3.809e-06
0.1,1,0.0002192,3.71303598242592e-06
0.2,1,0.0002532,6.26914933366545e-06
0.3,1,0.0002281,3.54231236163683e-06
0.4,1,0.0009447,1.10212776453177e-05
0.5,1,0.0001114,1.07929106291938e-05
0.6,1,0.0001184,1.14861470348363e-05
0.7,1,6.95e-05,6.83535788742183e-06
0.8,1,7.91e-05,7.51031650983746e-06
0.9,1,9.31e-05,4.73237619642114e-06
1,1,0.0001083,9.295e-06
