points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.262279783413523,0.7990092,3.3253e-05
0.1,0.279565505573632,2.121011,6.69281241310272e-05
0.2,0.299533430892881,0.9576266,4.87154938348486e-05
0.3,0.318963867297864,1.8108015,5.03344997500535e-05
0.4,0.330700375542947,3.2903327,0.000160048030913426
0.5,0.350853561531166,3.2809256,0.000150843392006224
0.6,0.394288451125902,3.1190053,0.000154290609344052
0.7,0.466735465151795,0.9379078,7.49976094510077e-05
0.8,0.60749089252372,1.5691311,7.72945594525235e-05
0.9,0.729454704433209,1.1436888,9.12920099875156e-05
1,0.852951548507081,0.7829698,4.543e-05
