points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.336946343168809,0.5604089,8.8861e-05
0.1,0.324973250107262,0.2737547,0.000138436405094266
0.2,0.317595414757441,0.2220958,0.000104487078091917
0.3,0.327935521288344,0.4364885,0.000202354081268299
0.4,0.33123925412803,0.4333491,0.000189565049741018
0.5,0.347431442517411,0.454905,0.000204133686667315
0.6,0.379134575611209,0.2987335,0.000114642887102412
0.7,0.414091959458952,0.3066384,0.000139140722724114
0.8,0.488107452336916,0.2296699,0.00012064619332763
0.9,0.52937909869388,0.2327832,0.000140084456928839
1,0.562237268318624,0.3039448,0.00016605
