t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0121470560749894,-0.00940040715608626,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.180705040620308,6.50271498413183,-6.06679277877602,-0.0373169809543304,-0.0148029944157384,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,-0.2794384149146,0,-0.0799134135541074,0
0.007,-0.552123862700706,7.52378936422767,-2.20251710968992,-0.0415053046978837,-0.0117040059710954,1,-2.75125075803745,-0.0928527115649383,7.07095131082149,7.69029161830916,-2.28704694917949,-2.116552812963,-0.253234126166331,0,-0.0799134135541074,0
0.008,-0.896000486591204,6.89373704841696,1.76344738331591,-0.0385818832815007,-0.00970903869186078,0,-2.74435362833335,-0.0844522519028352,6.47196562699478,7.08691144894887,1.37276567143023,1.94762945425998,-0.242941121499789,0,-0.0444786414691727,0
0.009,-1.15459736699193,4.87118519314253,4.99423800895346,-0.0576372187233515,-0.00416342092089316,0,-2.84274834775338,-0.050891903345788,4.41948439341396,5.03046839853407,4.32740959326765,5.27424359400983,-0.253234126166331,0,-0.0799134135541074,0.03572687017926
0.01,-1.56959576053031,2.0242295442871,6.88156186725747,-0.0699190911997832,0.00233366829795845,1,-3.47229822289089,-0.0204947554412076,1.05908315847476,2.81583904435723,6.12088800189678,7.29626827131487,-0.2794384149146,-0,-0.0799134135541074,0.1221651046906
0.011,-2.0816497164779,-0.970351452422319,7.16007644477776,-0.0218262892076671,0.0289191392187572,1,-3.49210294729975,-0.0147465863870047,-1.69516608409376,0.0297166708784339,6.40099082052819,7.77096690209658,-0.253234126166331,0.0467986122463728,-0,0.129099811129294
0.012,-2.10778893200683,-3.31432960891107,5.97110389674165,0.0114599957439886,0.0310171658921625,0,-3.72215933168521,-0.321236268808885,-4.18180466376945,-2.26117198631866,5.30176470780605,6.88950239924732,0,0.141822156374928,0,0.13451678283757
0.013,-1.82081543957821,-4.75531590364053,3.74342742480335,0.028256091186147,0.0321251388081847,0,-3.35671441665511,-0.190522178744846,-5.58799269177894,-3.91904048736971,2.98158861218193,4.75199213048976,-0.00631402513760147,0.19842250997304,0,0.182792524294506
0.014,-1.39209172392832,-5.06894566906245,1.03722792163051,0.0390098852601754,0.0284839220838744,0,-3.03859085734271,0.643352503143709,-5.7184907017644,-4.29311556364848,-0.128184128142671,2.09530518725332,-0,0.162995358804216,0,0.170473772255992
0.015,-0.88700887058327,-4.31432721093525,-1.54302937265264,0.0505986827867227,0.0158268637186872,0,-2.37195469058044,0.9144818670752,-5.24024947968452,-3.24968706091203,-2.70324567274253,-0.668914950877669,0,0.183387080401279,-0.0515265522091422,0.182792524294506
0.016,-0.310901273486995,-2.80394719965607,-3.49647502558266,0.0466161145597291,-0.00413692149988724,1,-1.74535481476818,1.14681688521614,-3.7808378143473,-1.20977058477507,-4.40130419752643,-2.79542552169182,0,0.216775110883293,-0.0571106348192732,0.0331985518767834
0.017,0.17091809776002,-0.97276220322355,-4.52875040611381,0.0458966511641709,-0.028167037576424,0,-1.21796220581064,1.84836160600129,-1.94584412474729,0.739825438771706,-5.20279892247605,-3.77767165456198,0,0.215419574838208,-0.128226343544413,0
0.018,0.592102929108747,0.73477322077737,-4.58768287779062,0.022812193034813,-0.0302890981313058,0,-0.778196003127763,2.06659481057709,-0.254908294400672,1.94859142689542,-5.37574834884584,-3.78280530090352,0,0.173373854725723,-0.119325660998284,0
0.019,0.746033292499751,2.13464716687227,-3.7928773654531,0.00313019316762393,-0.0375814258617994,0,-0.396142595436195,2.0590159099279,1.22395520662116,3.16748798575066,-4.815955410294,-2.42550956050973,-0.07383586557435,0.102085624163246,-0.150862311033165,0
0.02,0.695888868749182,2.91376875875882,-2.40102579497024,-0.00912481661598993,-0.0325279048005896,0,-0.306007357750197,1.89779438420051,1.86432061729057,3.76922296630207,-3.51091904239441,-1.17177038664051,-0.0825947389801379,0.036962833829439,-0.16132655222169,-0
