t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0150110686030394,-0.0100167909431362,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.207941142874228,6.4978862685963,-6.06811971747992,-0.04085646994885,-0.0166897074347767,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,-0.304462445621353,0,-0.0906645365335765,0
0.007,-0.61042064594774,7.50567403117544,-2.21015575189351,-0.0426221506015441,-0.0136725505250375,1,-2.98927250175047,-0.0928527115649383,6.98779994595904,7.69029161830916,-2.310057103905,-2.116552812963,-0.300221372060788,0,-0.0906645365335765,0
0.008,-0.959461188920122,6.86666873834744,1.74340848650243,-0.0387681813111867,-0.0113723612762912,0,-2.9825774790106,-0.0844522519028352,6.3892077730146,7.08691144894887,1.26817911448995,1.94762945425998,-0.271786510888125,0,-0.0453322682667882,0
0.009,-1.21406046141057,4.84407185074578,4.95934029680985,-0.0572784213641149,-0.0055830779444846,0,-2.95039986108108,-0.050891903345788,4.3370814586755,5.03046839853407,4.13754303046891,5.27424359400983,-0.300221372060788,-0,-0.0906645365335765,0.029152093059885
0.01,-1.62030754058799,2.004737812772,6.83388564952026,-0.0659347911232443,0.00126654005670273,1,-3.09603957671175,-0.0204947554412076,0.994488050316424,2.80640898374499,5.90512621238533,7.28205593636434,-0.304462445621353,-0,-0.0906645365335765,0.116982067266916
0.011,-2.08976714230161,-0.976117824610696,7.10549368290574,-0.00929809279737228,0.0320661335356199,1,-3.32628710431571,-0.0147465863870047,-1.77723526938855,0.0524543922561047,6.28605288509349,7.7336679372078,-0.243351649715462,0.111065046167901,-0,0.14570091594648
0.012,-1.9956422607938,-3.27425453649874,5.92618104671386,0.0215228911285251,0.0370965848975768,0,-3.88522852674441,-0.0328493436395148,-4.23879536494728,-2.07461247678671,5.11355613563984,6.93934467154426,-0,0.177908006594246,-0,0.173421217815717
0.013,-1.62299690364639,-4.65932120230708,3.7363092483395,0.038035873369151,0.0397167075347757,0,-3.2639346478238,0.408560167582759,-5.61026920566113,-3.75568085528858,2.89835345750791,4.8945838951287,0,0.228707501384471,0,0.191965366413755
0.014,-1.11973162257927,-4.93008817618364,1.09514929228704,0.0466191945905289,0.0370232472083036,0,-2.7282835684509,1.02453866398626,-5.73379954388666,-3.98738975737069,-0.213780631275148,2.36148830484746,-0,0.197132551512627,0,0.191965366413755
0.015,-0.568672163695503,-4.15771555108164,-1.40344713399178,0.0530601587593209,0.0270165672389859,0,-2.18644997952627,1.31465121486108,-5.02650071222718,-3.10953917445211,-2.73025903335528,-0.205676749522355,0,0.20380835683883,0,0.191965366413755
0.016,-0.000714531543443784,-2.64329150028296,-3.2693431856445,0.0445845051446024,0.00491811175156504,1,-1.58432035301974,1.65467337032683,-3.50652604571232,-1.07600939054719,-4.44577300310693,-2.3482256075261,0,0.235144950029808,-0.0347206945345152,0.0795576495917473
0.017,0.430888392087641,-0.858696682092151,-4.22609307705881,0.0400334011577625,-0.0188718809258186,0,-0.918702774156139,2.32409455542977,-1.89338497489587,0.818616513864522,-4.81129543733849,-3.41083962617972,0,0.214615327918542,-0.116311288941828,-0
0.018,0.770943296258294,0.783426844981211,-4.24049207721776,0.0138874779750997,-0.0239404853027771,0,-0.619899144291265,2.52296202378657,-0.17766474961382,1.9778809258759,-4.88139548118544,-3.6244992004058,0,0.14865383055196,-0.11297601025563,0
0.019,0.823469969537684,2.08971745729195,-3.44504878304595,-0.00725434031490428,-0.0333031779164146,0,-0.490731444495688,2.34289939716624,1.22680258040344,3.32586408822515,-4.30596445027204,-2.28844579166703,-0.0986883001047293,0.0594783514499239,-0.127875009049151,0
0.02,0.668450404339461,2.77600315116172,-2.10382484398512,-0.0161181489768852,-0.0309456108560129,0,-0.537971392993818,2.10798651004947,1.82303331792496,3.60117860781483,-3.16544411755986,-1.03986628955101,-0.0874122241373823,-0,-0.132376730324673,0
0.021,0.447171186478303,2.83641216736009,-0.559521905015142,-0.0311793365226955,-0.0306664508623767,1,-0.786340011634396,1.72143036275769,1.91206269958635,3.63844205847517,-1.70015296105173,0.657555395387238,-0.126077211610173,-0,-0.137945197995449,0
