t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0112081786247487,-0.00313972632444991,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,0,0,0,0
0.006,-0.171952378160154,6.55094863454743,-6.05333401609826,-0.0276534916665828,0.00154777132358339,0,-0.0653816435015011,-0.0653816435015011,6.57543914052667,6.57543914052667,-6.0465906846501,-6.0465906846501,-0.198103923751153,0,0,0.0307462330751657
0.007,-0.452451615326454,7.68406438456442,-2.13130072641157,-0.0271898444601248,0.00571492909959751,1,-1.97834422163937,-0.0928527115649383,7.69029161830916,7.92420244855007,-2.116552812963,-2.04952705581961,-0.1648674512704,0,0,0.0307462330751657
0.008,-0.668636987584839,7.13140419728915,1.94431952035733,-0.0238114251060357,0.0064147982093378,0,-1.96936982596987,-0.0844522519028352,7.08691144894887,7.32393864765449,1.94762945425998,2.12679561687401,-0.131630978789647,0,-0,0.0307462330751657
0.009,-0.805644670209245,5.11923016025304,5.30858766324706,-0.0298932421750892,0.0148816028031378,0,-2.18559765136321,-0.050891903345788,5.03046839853407,5.51145421304117,5.14118625260375,5.61803777557899,-0.198103923751153,0,-0,0.11013834626996
0.01,-0.986537469208174,2.2505830985269,7.32617863826681,-0.0323401549578432,0.0255641854321772,1,-2.15575313465,-0.0204947554412076,1.74162708574814,2.92398100721906,6.86319480943213,7.85664195583282,-0.198103923751153,0.0581351464339219,-0,0.11013834626996
0.011,-1.1942775717612,-0.781497029634515,7.71884469488854,0.0116241380655797,0.0300744643177053,1,-1.95024288107729,-0.0147465863870047,-1.21153226798737,-0.152664723207456,7.12222240025399,8.39843853869131,-0.0772998093351516,0.140381309476009,0,0.11013834626996
0.012,-0.987478747129783,-3.37121958908114,6.56571620143646,0.0262421754544494,0.0232241981364232,0,-1.85891975195297,0.33332189699712,-3.88637333475305,-2.79323007691269,6.03889446061278,7.40728673894665,0,0.138274754598394,0,0.115496949527497
0.013,-0.670400605999504,-5.0947926501247,4.228749385465,0.0358408513504284,0.0184761130134197,0,-1.6382854343788,0.471607180916555,-5.54768825185973,-4.47873170167854,3.593536438355,5.0734068311958,0,0.141398459394421,0,0.123924317588323
0.014,-0.282644403136174,-5.63994934812283,1.27218181754664,0.0419478752481037,0.0115721764386779,0,-1.49241517810234,1.10626314760433,-6.24923883034772,-4.94606785185752,0.766501561676489,2.05276742818856,0,0.187604287244038,0,0.100923002692654
0.015,0.14465549592561,-5.00062131382751,-1.65350014926127,0.0402864207348197,0.000593318199088469,0,-1.31663235777103,1.36127033149891,-5.66412519855173,-4.34941579399259,-2.23034480590174,-1.10581730252882,0,0.211005197396741,-0.0603643297658496,0.0441483836402186
0.016,0.528022142807871,-3.43666775289372,-3.96899126377857,0.0231366169182746,-0.00859141551320369,1,-0.428686922619671,1.34320208655484,-4.23585668213234,-2.87459531934553,-4.4196120811275,-3.44541531801649,0,0.136812642983385,-0.0667466966371612,0
0.017,0.710691396465829,-1.33894457744484,-5.27478363662036,0.00833213716356355,-0.0195076974616582,0,-0.0424447470504307,1.42204646624968,-2.07807765020124,-0.682101516523254,-5.75236942634168,-4.6841005399801,-0.0230526686168865,0.0976403116510735,-0.0925884754459793,0
0.018,0.72397192459234,0.79135671108119,-5.41722168726469,-0.00758852298853037,-0.0197378149301111,0,-0.11536743062833,1.40064325819153,0.0960852395775898,1.49230445295884,-6.16864328113728,-4.78742086108825,-0.0843896516817628,0.0445474671613784,-0.0912249077321682,0
0.019,0.573105112984066,2.5814033421031,-4.48241390487023,-0.0229602644853385,-0.0213356453828575,0,-0.222277830418986,1.26405301882666,1.88035820294461,3.20203241302336,-5.28916339403433,-3.83292401301199,-0.102750727563155,0,-0.0969405681995919,-0
0.02,0.286895176694895,3.66788315313013,-2.75880362489714,-0.0260009576125454,-0.01504920439606,0,-0.679507257849622,1.07715243965418,2.95185721614825,4.21095540217123,-3.59679220958736,-1.96813551758524,-0.096380871909111,0,-0.0925884754459793,-0
0.021,0.00457169177474498,3.93784462473775,-0.664936259625654,-0.0349318616827346,-0.010058721172656,1,-0.861744755429405,0.930065077564966,3.30401877363617,4.50490304773944,-1.41397438126834,0.0632306027156203,-0.126625951063527,-0,-0.0777427344638092,0.0141366210186293
