points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.436787993018107,0.3099848,0.000180466
0.1,0.535437163614696,0.4384122,0.000186465647541893
0.2,0.653795904747655,0.2478218,0.000155486604010025
0.3,0.742251472788558,0.3478978,0.000217363046574562
0.4,0.816413051622836,0.3843716,0.000284853699421966
0.5,0.876950144117015,0.3537159,0.000193365167668153
0.6,0.883973290089078,0.4022252,0.000194532424312457
0.7,0.823193088688609,0.1291467,5.30081303076708e-05
0.8,0.801136371586025,0.1543801,7.66223050847458e-05
0.9,0.761431359389207,0.1519778,7.89833022194565e-05
1,0.745314698087748,0.1556822,8.6695e-05
