points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.262279783413523,1.7404174,7.305e-05
0.1,0.274435661058379,1.0864985,5.97000776828321e-05
0.2,0.289480960172736,3.5240124,0.000150210037593985
0.3,0.318221513746164,2.0670895,5.96579618287993e-05
0.4,0.356160897626387,3.3191902,0.000157638827415359
0.5,0.451170942966982,3.2733708,0.000158617261097112
0.6,0.603531535188603,3.1110853,0.000150200808874509
0.7,0.765582291015151,3.0508136,0.000153655673117082
0.8,0.955772789774055,0.9221832,4.4012627118644e-05
0.9,1.09047378669131,0.8644718,4.34343497199751e-05
1,1.22585991126006,0.8673282,5.505e-05
