points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.264065693614404,1.5277251,0.004392727
0.1,0.300477397133577,2.1989772,0.0107496774941738
0.2,0.35988634081285,5.9644907,0.0313367995363409
0.3,0.436867873926766,2.527853,0.0141464764990742
0.4,0.509761994071007,6.3071569,0.0188643467547481
0.5,0.618266386669738,5.5592701,0.0190893629094786
0.6,0.716620718611949,5.6351266,0.0190722137046453
0.7,0.767236461998406,5.4962861,0.018348769580955
0.8,0.809449207297851,1.8579505,0.00665603666101695
0.9,0.809128779180109,1.7167127,0.00677058301182327
1,0.867068072682562,1.3619999,0.003411265
