points,mean_quadratic_cost_to_ol,offline_computation_time,mean_online_computation_time
0,0.265214622609664,7.430603,0.000100677
0.1,0.278461172943083,3.2522268,9.9116768394185e-05
0.2,0.302293088145948,7.7592988,0.000155973389724311
0.3,0.340977842065121,3.4170097,9.00600555476428e-05
0.4,0.378806318419131,7.5674761,0.000159492080924856
0.5,0.45444412558932,7.2360184,0.000158895735607676
0.6,0.554146611062195,7.5670576,0.000152954448809799
0.7,0.650873430586751,8.2934385,0.000156158373938466
0.8,0.768012863771058,2.9056094,5.69645254237288e-05
0.9,0.829053690406161,3.2297662,5.51168429786352e-05
1,0.849561173106699,3.736477,5.639e-05
