t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,5.26091646269469e-17,6.58264274299997e-18,0,0,0,0,0,0,0,0,1.98525149535649e-16,0,2.48401612943395e-17
0.002,5.00642394087139e-16,5.06805191827792e-17,1.41413249175055e-17,4.3664456081378e-17,1.04049660357022e-17,0,0,1.8892165814609e-15,0,1.91247242199167e-16,0,5.33634902547377e-17,0,1.98525149535649e-16,0,2.48401612943395e-17
0.003,8.68522209301077e-16,1.16000023587647e-16,6.025972103806e-17,4.1435390986476e-17,1.30689030270437e-17,0,0,1.8892165814609e-15,0,1.91247242199167e-16,0,1.43045266658526e-16,0,1.98525149535649e-16,0,4.78739079658108e-17
0.004,1.18018127246712e-15,1.72030707942398e-16,-10,1.8849769505146e-17,1.24442727190657e-17,1,0,1.90369608406556e-15,0,5.79294430573869e-16,-10,-10,0,6.28178486354115e-17,0,5.76503573765652e-17
0.005,-0.021826057651983,3.84949935007338,-8.92586606386817,-0.0785513508575107,-0.188928080811157,0,-0.0218260576519842,-0.0218260576519823,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.157102774497389,0,-0.377856404643048,0
0.006,-0.807281507323239,5.11855162612992,-6.45260154150283,-0.0715001195939633,-0.204395285155055,0,-1.54918205607849,-0.0653816435014994,3.66166223841344,6.57543914052667,-6.85861292078853,-6.0465906846501,-0.293780601018894,-0,-0.69162716047039,-0
0.007,-1.43963161003369,5.08016098739275,-3.64523294375108,-0.0610811367710856,-0.236356456323743,0,-2.87948415512539,-0.0928527115649368,2.36041274264192,7.69029161830916,-5.14338880325858,-2.116552812963,-0.35510327533108,0.0184155574377837,-0.834862452527742,-0
0.008,-1.89418448571635,3.72310130189141,-1.2268208271954,-0.0257106396006148,-0.175095202640354,0,-3.46783791479361,-0.084452251902834,0.658595284238294,7.08691144894887,-3.30330390691427,1.94762945425998,-0.183031871808375,0.0851799396394183,-0.734527452292863,0
0.009,-1.95800888185409,2.15964442724639,0.386797676928116,-0.000794902877669899,-0.123489800332166,1,-3.13762301771604,-1.18335902678219,-0.563171250667589,5.48110631041485,-1.97656299770881,3.57892129147841,-0.165650920528312,0.0910829687091612,-0.580453146183968,0
0.01,-1.77759964547885,0.66290877242667,1.15810788064915,0.0243368690742659,-0.0723459724681524,0,-2.83881517513405,-0.720329947270309,-2.22278839995636,3.6290646708281,-1.50880004677936,4.69358111459274,-0.0946755244047121,0.17568536421967,-0.46693643056587,0.00962150365166394
0.011,-1.37817225906869,-0.460369426172271,1.20952933002938,0.0431598679407293,-0.0292388089615401,0,-2.40028516835729,-0.0771782782169496,-2.78084409505858,1.94139478533652,-1.03242670966123,4.99838729017062,-0,0.197261759589937,-0.290562166234954,0.098706221365661
