t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,0,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0364411682249683,-0.0282012214682588,0,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.242941121499789,0,-0.188008143121725,0
0.006,-0.411351834857923,6.35726667134214,-6.10719696702784,-0.0638771883383218,-0.0335892402165716,1,-2.37184958587765,-0.0653816435015011,5.12095601262982,6.57543914052667,-6.45063256716834,-6.0465906846501,-0.2794384149146,0,-0.171188241451402,0
0.007,-1.0132745924623,7.27477136733885,-2.35142188231218,-0.0880556108606881,-0.0277568225671518,0,-2.75125075803745,-0.0928527115649383,6.2391503367644,7.69029161830916,-3.20273687099564,-2.116552812963,-0.2794384149146,0,-0.0799134135541074,0
0.008,-1.75776722787746,6.62375170114204,1.47247894194532,-0.0701678960540485,-0.0032742505266291,1,-4.13148503114381,-0.0844522519028352,5.71401149667068,7.08691144894887,0.461394562672617,1.94762945425998,-0.253234126166331,0,-0.0799134135541074,0.0439629912158862
0.009,-2.23759426446077,4.81415178106019,4.61513433544182,-0.052109567252626,0.0123676221193369,0,-4.36700757124798,-0.050891903345788,4.14634137299385,5.25238852356868,3.4354471261421,5.35322817854409,-0.242941121499789,0.00983877834448083,-0.0799134135541074,0.13451678283757
0.01,-2.49764445819317,2.25450842647079,6.55204119002267,-0.0283875862982921,0.0393009425260258,0,-4.17675515861824,-0.0204947554412076,1.46436916397324,3.05714388399722,5.375320782395,7.5115977490687,-0.191761300179628,0.0914763450904308,0,0.151380852303398
0.011,-2.52287519126166,-0.368092864324079,7.06155089234751,0.0161536380812739,0.0405119025957238,0,-3.9528755236118,-0.854574694419183,-1.50477226401885,0.602553294949022,6.01322939069952,8.40253886732347,-0.103348851522182,0.168635421851373,0,0.139800063723226
0.012,-2.14104124710782,-2.69489934171621,6.20912580753612,0.0485457515187578,0.0517554559338112,0,-3.71093026561182,-0.539470428916264,-3.70877165207602,-1.60871113474461,5.04621644199981,7.66649444775347,0,0.189481074763846,0,0.175962820930363
0.013,-1.49637725663907,-4.18245075104702,4.30975990564908,0.0669148707324922,0.0328394547986571,1,-3.24784063011358,0.202913500576307,-5.12209269930281,-3.15526451501634,3.18176822126819,5.66424633587752,0,0.231025260095233,0,0.119346932099253
0.014,-0.733283273347814,-4.81504632606668,1.830474342821,0.0740338625540226,0.0121535339776216,0,-2.94979104242518,1.44907418995519,-5.84922147686085,-3.87981322433509,0.830712818994872,3.21529515552101,0,0.230909341140511,-0.0268235345659744,0.0957112553948516
0.015,0.0379817549524828,-4.53844459314043,-0.742640602750178,0.0670435757450282,-0.00362953321335066,0,-2.16613515232726,1.9782496643985,-5.43221489030541,-3.71094499436825,-1.69124308365174,0.449778025800239,0,0.227576942241556,-0.0635459927830807,0.0380478643567344
0.016,0.680727295147881,-3.44344187038278,-2.9345721984004,0.0547057480256045,-0.0223874236800538,1,-1.36304809935054,2.61424878762127,-4.39057624815427,-2.60738531508285,-3.87340639503166,-1.984031622259,0,0.214757765498721,-0.105353392734422,0.00706613544581686
