t,x1,x2,x3,u1,u2,sequence,xlb1,xub1,xlb2,xub2,xlb3,xub3,ulb1,uub1,ulb2,uub2
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.004,0,0,-10,0,0,1,0,0,0,0,-10,-10,0,0,0,0
0.005,-0.0218260576519843,3.84949935007338,-8.92586606386817,-0.0890885052323553,-0.164169770016786,1,-0.0218260576519842,-0.0218260576519842,3.84949935007337,3.84949935007337,-8.92586606386814,-8.92586606386814,-0.181813275984399,0,-0.335040346973033,0
0.006,-0.908325135859668,5.30887089263972,-6.39940826399139,-0.0875434619720483,-0.233106319893931,0,-1.78567448504878,-0.0653816435015011,3.99060598157373,6.57543914052667,-6.7666265608568,-6.0465906846501,-0.307054846629485,-0,-0.667553625408031,-0
0.007,-1.68379818665461,4.99324058073734,-3.5644468172695,-0.0622089639994536,-0.258019449632382,0,-3.00620068491832,-0.0928527115649383,2.54556180181191,7.69029161830916,-4.92896689618938,-2.116552812963,-0.355033440740176,0.0220374786145253,-0.833153472786817,-0
0.008,-2.12533656679215,3.45389542687995,-1.2445868217187,-0.00634077905236301,-0.187205433458752,1,-3.46717203966392,-0.0844522519028352,0.671755334647025,7.08691144894887,-3.05298096158452,1.94762945425998,-0.168023705896612,0.10729053851172,-0.760240329575263,-0
0.009,-1.98315444989917,1.85351564587658,0.210596980518563,0.0246964746715177,-0.13438916104694,0,-3.13701173772328,-1.30291043997493,-0.583803290008912,5.42916678284881,-2.12026798408938,3.53738850393491,-0.0459418186284944,0.136708660886284,-0.577771949249538,-0
0.01,-1.55819391744932,0.396858635814857,0.824588557780064,0.0359033270865775,-0.0605405888820416,0,-2.68051003858849,-0.5633125149327,-2.01156206020921,3.45377402737381,-1.56837712378701,4.97790566651755,-0,0.139074517664464,-0.417358167324951,0.0489822386903326
0.011,-1.06932401833202,-0.458486276234574,0.804338717455204,0.0476709051245844,-0.0176646162282444,0,-2.2848042454818,0.167244800765054,-2.84714058827123,1.66164936183796,-1.23574786205336,3.93949485540254,-0,0.214070101059217,-0.303907338250895,0.17144402037035
0.012,-0.516217414166809,-0.818875920739202,0.451362182198266,0.0299401498674695,0.0125258124436479,1,-1.78758220142753,0.638364237925412,-2.78234465971782,1.13819517150851,-0.934809968595102,3.15041602041284,-0.00825400294565666,0.10778568693921,-0.0892537172662493,0.170538441195915
0.013,-0.183694419093878,-0.745192156582239,0.0211862380713103,0.0253138140473231,0.0268628131748482,1,-1.29131097841549,0.918827265735309,-2.85709144804202,0.583443398205876,-0.892535411768572,1.86521007041074,-0.0109889111220563,0.119789815193276,-0.0409673759831964,0.157634258485742
0.014,0.074457322442604,-0.409279280822931,-0.295221990057405,0.00842986947413962,0.0222988818673318,0,-0.745614437539923,1.11387870037592,-2.00683530184316,0.524906190854446,-1.2518300663846,0.83626170419476,-0.0310189743012244,0.0357651456930485,-0.039848416921853,0.14359728553266
0.015,0.147703153445472,-0.0485041445081439,-0.419807417929407,-0.00457712681042033,0.00587456356127729,1,-0.503241064681373,0.89194717086615,-0.890115628745682,0.663947211495774,-1.70698141208403,0.450262023793665,-0.0392225223117519,0.00965786195993549,-0.0472107768780018,0.0565849734695338
