t,x1,x2,x3,u1,u2,sequence
0,0,0,0,0,0,1
0.001,0,0,0,0,0,1
0.002,0,0,0,0,0,1
0.003,0,0,0,0,0,1
0.004,0,0,-10,0,0,1
0.005,-0.0218260576519842,3.84949935007337,-8.92586606386814,-0.242941121499789,-0.188008143121725,1
0.006,-2.37184958587765,5.12095601262982,-6.45063256716834,-0.190241935080276,-0.171188241451402,1
0.007,-3.98687382116038,5.32913419354596,-3.57048260127546,-0.11812262817736,-0.139805152525749,1
0.008,-4.74414745264563,4.63654169478225,-0.826333892905238,-0.0409368010038458,-0.0987215570367792,1
0.009,-4.68091397871684,3.34002822728712,1.36746591609046,0.0272687594106409,-0.0558842653529748,1
0.01,-3.96983553364533,1.77400530145366,2.77102015881916,0.0770277588169866,-0.0182056957498825,1
0.011,-2.85553204333396,0.247887436700926,3.32238021556705,0.10399932744047,0.00944816609768902,1
0.012,-1.59558220152971,-0.998495957650826,3.11104312377103,0.108477935532863,0.0248174487598151,1
0.013,-0.41592863249349,-1.8187235295429,2.33250264775121,0.0942968874904582,0.0281880961239202,1
0.014,0.516881633022948,-2.16425772737768,1.23523524543291,0.0674744015869605,0.0218310118792168,1
0.015,1.10821345992648,-2.07301337052211,0.0699464083602214,0.0348477293157643,0.00917344825945291,1
0.016,1.33534211782539,-1.64667252184262,-0.951533406225878,0.00286068739608653,-0.00605318261350737,1
0.017,1.23753118181827,-1.02206779394985,-1.68315464123387,-0.0233748660542856,-0.0205111845505042,1
0.018,0.898787030393066,-0.342062973486279,-2.05574036171565,-0.0406570396305671,-0.0317145782316229,1
0.019,0.426418142016586,0.269253229473022,-2.07337495660029,-0.0478714114485179,-0.03823900569229,1
0.02,-0.0708505622741126,0.723614169933779,-1.7983861444242,-0.0457916224048573,-0.0397204427443388,1
0.021,-0.501423483854215,0.976309391139314,-1.32955278491931,-0.036592276107548,-0.0366963703315099,1
0.022,-0.803151401652183,1.025014810746,-0.778498300214051,-0.0232088198300222,-0.0303448246179788,1
0.023,-0.948152306025959,0.901686516575659,-0.248612484098187,-0.00868932609755641,-0.0221748380777164,1
0.024,-0.940641178761108,0.660343649012946,0.180444852061304,0.00434194423352704,-0.0137196941784183,1
0.025,-0.809617427266167,0.363683554332733,0.461185743107515,0.0140366147764273,-0.0062793777459577,1
0.026,-0.598866907792948,0.0710148985082259,0.579714640657667,0.0194690747209799,-0.000746987785713918,1
0.027,-0.35663969152764,-0.170786434733837,0.551330046102243,0.0205994306250308,0.00246439854615836,1
0.028,-0.126813564294739,-0.332463418319636,0.412216671389662,0.0180998194840435,0.00339876914615262,1
0.029,0.0573640939313777,-0.403662661674311,0.209376464696355,0.0131017818577493,0.00246010419748696,1
0.03,0.176539703415171,-0.390894254965649,-0.00920935913959545,0.00692106893090377,0.000273191177988921,1
0.031,0.225646313549757,-0.313147839419587,-0.202633094959442,0.000807429239180265,-0.00246443542405462,1
0.032,0.211937498446034,-0.196326697877772,-0.342368242023988,-0.0042462482761346,-0.00511201641154521,1
0.033,0.151417937876162,-0.0676325765367133,-0.414502769131108,-0.00761636847300054,-0.0071787862267982,1
0.034,0.064532900006128,0.0491683139478081,-0.419132241140978,-0.00907911822086748,-0.00837342738594003,1
0.035,-0.028050628633148,0.136986073380818,-0.367567215082125,-0.00876925052079697,-0.00861111074909893,1
